email,password,schoolId
k.adebayo@edutrack.app,student123,sch_101
c.obi@edutrack.app,student123,sch_101
e.nwosu@edutrack.app,student123,sch_101
f.bello@edutrack.app,student123,sch_101
i.musa@edutrack.app,student123,sch_101
s.johnson@edutrack.app,student123,sch_101
t.alade@edutrack.app,student123,sch_101
g.uche@edutrack.app,student123,sch_101
d.osei@edutrack.app,student123,sch_101
h.kalu@edutrack.app,student123,sch_101
a.ajayi@edutrack.app,student123,sch_101
m.sule@edutrack.app,student123,sch_101
n.okafor@edutrack.app,student123,sch_101
t.adebisi@edutrack.app,student123,sch_101
h.yusuf@edutrack.app,student123,sch_101
c.eze@edutrack.app,student123,sch_101
